table with row headers in column A,,,,,,,,,,,,,,,,,,,,,,
"Part III.  Population of Counties, Earliest Census to 1990",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- ALABAMA: 1800-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,Notes,
Kiowa ,"3,660","4,046","4,088","4,626","4,743","5,112","6,035","6,164","6,174","2,365","2,873",---,---,---,"*Comanche, Edwards",,,,,,,
Labette ,"23,693","25,682","25,775","26,805","29,285","30,352","31,346","34,047","31,423","27,387","27,586","22,735","9,973",---,*Neosho,,,,,,,
Lane ,"2,375","2,472","2,707","3,060","2,808","2,821","3,372","2,848","2,603","1,563","2,060",601,---,---,,,,,,,,
Leavenworth ,"64,371","54,809","53,340","48,524","42,361","41,112","42,673","38,402","41,207","40,940","38,485","32,355","32,444","12,606",,,,,,,,
Lincoln ,"3,653","4,145","4,582","5,556","6,643","8,338","9,707","9,894","10,142","9,886","9,709","8,582",516,---,,,,,,,,
Linn ,"8,254","8,234","7,770","8,274","10,053","11,969","13,534","13,815","14,735","16,689","17,215","15,298","12,174","6,336",,,,,,,,
Logan ,"3,081","3,478","3,814","4,036","4,206","3,688","4,145","3,223","4,240","1,962","3,384",---,---,---,*Wallace,,,,,,,
Lyon ,"34,732","35,108","32,071","26,928","26,576","26,424","29,240","26,154","24,927","25,074","23,196","17,326","8,014",---,"*Breckinridge, Madison",,,,,,,
Madison,---,---,---,---,---,---,---,---,---,---,---,---,---,636,"To Greenwood, Lyon",,,,,,,
McPherson ,"27,268","26,855","24,778","24,285","23,670","24,152","23,588","21,845","21,521","21,421","21,614","17,143",738,---,,,,,,,,
Marion ,"12,888","13,522","13,935","15,143","16,307","18,951","20,739","22,923","22,415","20,676","20,539","12,453",768,74,,,,,,,,
Marshall ,"11,705","12,787","13,139","15,598","17,926","20,986","23,056","22,730","23,880","24,355","23,912","16,136","6,901","2,280",,,,,,,,
Meade ,"4,247","4,788","4,912","5,505","5,710","5,522","6,858","5,542","5,055","1,581","2,542",296,---,---,,,,,,,,
Miami ,"23,466","21,618","19,254","19,884","19,698","19,489","21,243","19,809","20,030","21,641","19,614","17,802","11,725","4,980",1860: Lykins,,,,,,,
Mitchell ,"7,203","8,117","8,010","8,866","10,320","11,339","12,774","13,886","14,089","14,647","15,037","14,911",485,---,,,,,,,,
Montgomery ,"38,816","42,281","39,949","45,007","46,487","49,729","51,411","49,645","49,474","29,039","23,104","18,213","7,564",---,*Wilson,,,,,,,
Morris ,"6,198","6,419","6,432","7,392","8,485","10,363","11,859","12,005","12,397","11,967","11,381","9,265","2,225",770,,,,,,,,
Morton ,"3,480","3,454","3,576","3,354","2,610","2,186","4,092","3,177","1,333",304,724,9,---,---,1880: Kansas,,,,,,,
Nemaha ,"10,446","11,211","11,825","12,897","14,341","16,761","18,342","18,487","19,072","20,376","19,249","12,462","7,339","2,436",,,,,,,,
Neosho ,"17,035","18,967","18,812","19,455","20,348","22,210","22,665","24,000","23,754","19,254","18,561","15,121","10,206",88,1860: Dorn,,,,,,,
Ness ,"4,033","4,498","4,791","5,470","6,322","6,864","8,358","7,490","5,883","4,535","4,944","3,722",2,---,,,,,,,,
Norton ,"5,947","6,689","7,279","8,035","8,808","9,831","11,701","11,423","11,614","11,325","10,617","6,998",---,---,,,,,,,,
Osage ,"15,248","15,319","13,352","12,886","12,811","15,118","17,538","18,621","19,905","23,659","25,062","19,642","7,648","1,113",,,,,,,,
Osborne ,"4,867","5,959","6,416","7,506","8,558","9,835","11,568","12,441","12,827","11,844","12,083","12,517",33,---,,,,,,,,
Otoe,---,---,---,---,---,---,---,---,---,---,---,---,---,238,"To Butler, Sedgwick, Marion",,,,,,,
Ottawa ,"5,634","5,971","6,183","6,779","7,265","9,224","9,819","10,714","11,811","11,182","12,581","10,307","2,127",---,,,,,,,,
Pawnee ,"7,555","8,065","8,484","10,254","11,041","10,300","10,510","9,323","8,859","5,084","5,204","5,396",179,---,,,,,,,,
Phillips ,"6,590","7,406","7,888","8,709","9,273","10,435","12,159","12,505","14,150","14,442","13,661","12,014",---,---,,,,,,,,
Pottawatomie ,"16,128","14,782","11,755","11,957","12,344","14,015","15,862","16,154","17,522","18,470","17,722","16,350","7,848","1,529",,,,,,,,
Pratt ,"9,702","10,275","10,056","12,122","12,156","12,348","13,312","12,909","11,156","7,085","8,118","1,890",---,---,,,,,,,,
Rawlins ,"3,404","4,105","4,393","5,279","5,728","6,618","7,362","6,799","6,380","5,241","6,756","1,623",---,---,,,,,,,,
Reno ,"62,389","64,983","60,765","59,055","54,058","52,165","47,785","44,423","37,853","29,027","27,079","12,826",---,---,"*Sedgwick, Rice, McPherson",,,,,,,
Republic ,"6,482","7,569","8,498","9,768","11,478","13,124","14,745","15,855","17,447","18,248","19,002","14,913","1,281",---,,,,,,,,
Rice ,"10,610","11,900","12,320","13,909","15,635","17,213","13,800","14,832","15,106","14,745","14,451","9,292",5,---,,,,,,,,
Riley ,"67,139","63,505","56,788","41,914","33,405","20,617","19,882","20,650","15,783","13,828","13,183","10,430","5,105","1,224",,,,,,,,
Rooks ,"6,039","7,006","7,628","9,734","9,043","8,497","9,534","9,966","11,282","7,960","8,018","8,112",---,---,,,,,,,,
Rush ,"3,842","4,516","5,117","6,160","7,231","8,285","9,093","8,360","7,826","6,134","5,204","5,490",---,---,,,,,,,,
Russell ,"7,835","8,868","9,428","11,348","13,406","13,464","11,045","10,748","10,800","8,489","7,333","7,351",156,---,,,,,,,,
Saline ,"49,301","48,905","46,592","54,715","33,409","29,535","29,337","25,103","20,338","17,076","17,442","13,808","4,246",---,,,,,,,,
Scott ,"5,289","5,782","5,606","5,228","4,921","3,773","3,976","3,121","3,047","1,098","1,262",43,---,---,,,,,,,,
Sedgwick ,"403,662","366,531","350,694","343,231","222,290","143,311","136,330","92,234","73,095","44,037","43,626","18,753","1,095",---,"*Cowley, Otoe",,,,,,,
Seward ,"18,743","17,071","15,744","15,930","9,972","6,540","8,075","6,220","4,091",822,"1,503",5,---,---,,,,,,,,
Shawnee ,"160,976","154,916","155,322","141,286","105,418","91,247","85,200","69,159","61,874","53,727","49,172","29,093","13,121","3,513",,,,,,,,
Sheridan ,"3,043","3,544","3,859","4,267","4,607","5,312","6,038","5,484","5,651","3,819","3,733","1,567",---,---,,,,,,,,
Sherman ,"6,926","7,759","7,792","6,682","7,373","6,421","7,400","5,592","4,549","3,341","5,261",13,---,---,,,,,,,,
Smith ,"5,078","5,947","6,757","7,776","8,846","10,582","13,545","14,985","15,365","16,384","15,613","13,883",66,---,,,,,,,,
Stafford ,"5,365","5,694","5,943","7,451","8,816","10,487","10,460","11,559","12,510","9,829","8,520","4,755",---,---,,,,,,,,
Stanton ,"2,333","2,339","2,287","2,108","2,263","1,443","2,152",908,"1,034",327,"1,031",5,---,---,,,,,,,,
Stevens ,"5,048","4,736","4,198","4,400","4,516","3,193","4,655","3,943","2,453",620,"1,418",12,---,---,,,,,,,,
Sumner ,"25,841","24,928","23,553","25,316","23,646","26,163","28,960","29,213","30,654","25,631","30,271","20,812",22,---,*Cowley,,,,,,,
Thomas ,"8,258","8,451","7,501","7,358","7,572","6,425","7,334","5,517","5,455","4,112","5,538",161,---,---,,,,,,,,
Trego ,"3,694","4,165","4,436","5,473","5,868","5,822","6,470","5,880","5,398","2,722","2,535","2,535",166,---,,,,,,,,
Wabaunsee ,"6,603","6,867","6,397","6,648","7,212","9,219","10,830","11,424","12,721","12,813","11,720","8,756","3,362","1,023",,,,,,,,
Wallace ,"1,821","2,045","2,215","2,069","2,508","2,216","2,882","2,424","2,759","1,178","2,468",686,538,---,,,,,,,,
Washington ,"7,073","8,543","9,249","10,739","12,977","15,921","17,112","17,984","20,229","21,963","22,894","14,910","4,081",383,,,,,,,,
Wichita ,"2,758","3,041","3,274","2,765","2,640","2,185","2,579","1,856","2,006","1,197","1,827",14,---,---,,,,,,,,
Wilson ,"10,289","12,128","11,317","13,077","14,815","17,723","18,646","21,157","19,810","15,621","15,286","13,775","6,694",27,,,,,,,,
Woodson ,"4,116","4,600","4,789","5,423","6,711","8,014","8,526","8,984","9,450","10,022","9,021","6,535","3,827","1,488",,,,,,,,
Wyandotte ,"161,993","172,335","186,845","185,495","165,318","145,071","141,211","122,218","100,068","73,227","54,407","19,143","10,015","2,609",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
KANSAS NOTES,,,,,,,,,,,,,,,,,,,,,,
"Most of present-day Kansas was included in the Louisiana Purchase of 1803, forming part of Louisiana and then Missouri Territory. Kansas Territory was organized in 1854, and included part of present-day Colorado. Kansas was admitted as a State on January 29, 1861 with essentially its present boundaries.  ",,,,,,,,,,,,,,,,,,,,,,
Census coverage of Kansas began in 1860 and included the whole State by 1880.  The 1860 census reported Kansas and Colorado Territory in terms of their 1861 boundaries.  ,,,,,,,,,,,,,,,,,,,,,,
County Notes:  ,,,,,,,,,,,,,,,,,,,,,,
"Note 1: Total for 1860 excludes the portion of Kansas Territory that became part of Colorado Territory in 1861.  Total for 1890 includes 66 non-Indians on Indian reservations in Brown and Jackson Counties and 7 Indians in prison, not reported by county.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 2: Brown: Total for 1890 includes Indian population (477) of Kickapoo, Iowa, and Chippewa and Munsee Indian Reservations, reported separately.  ",,,,,,,,,,,,,,,,,,,,,,
Note 3: Haskell: Reported in 1880 as Arapahoe; an earlier Arapahoe County existed in 1860 in the portion of Kansas Territory that became Colorado Territory in 1861; its territory was reported in 1860 as part of Colorado.  ,,,,,,,,,,,,,,,,,,,,,,
"Note 4: Jackson: Total for 1890 includes Indian population (462) of Pottawatomie Indian Reservation, reported separately.  ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- KENTUCKY: 1790-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790,Notes
,,,,,,,,,,,,,,,,,,,,,,
KENTUCKY,"3,685,296","3,660,777","3,218,706","3,038,156","2,944,806","2,845,627","2,614,589","2,416,630","2,289,905","2,147,174","1,858,635","1,648,690","1,321,011","1,155,684","982,405","779,828","687,917","564,317","406,511","220,955","73,677",See note 1
,,,,,,,,,,,,,,,,,,,,,,
Adair ,"15,360","15,233","13,037","14,699","17,603","18,566","16,401","17,289","16,503","14,888","13,721","13,078","11,065","9,509","9,898","8,466","8,217","8,765","6,011",---,---,See note 2
Allen ,"14,628","14,128","12,598","12,269","13,787","15,496","15,180","16,761","14,882","14,657","13,692","12,089","10,296","9,187","8,742","7,329","6,485","5,327",---,---,---,See note 3
Anderson ,"14,571","12,567","9,358","8,618","8,984","8,936","8,494","9,982","10,146","10,051","10,610","9,361","5,449","7,404","6,260","5,452","4,520",---,---,---,---,See note 4
Ballard ,"7,902","8,798","8,276","8,291","8,545","9,480","9,910","12,045","12,690","10,761","8,390","14,378","12,576","8,692","5,496",---,---,---,---,---,---,See note 5
Barren ,"34,001","34,009","28,677","28,303","28,461","27,559","25,844","25,356","25,293","23,197","21,490","22,321","17,780","16,665","20,240","17,288","15,079","10,328","11,286","4,784",---,*Lincoln
Bath ,"9,692","10,025","9,235","9,114","10,410","11,451","11,075","11,996","13,988","14,734","12,813","11,982","10,145","12,113","12,115","9,763","8,799","7,961",---,---,---,See note 6
Bell ,"31,506","34,330","31,087","35,336","47,602","43,812","38,747","33,988","28,447","15,701","10,312","6,055","3,731",---,---,---,---,---,---,---,---,See note 7
Boone ,"57,589","45,842","32,812","21,940","13,015","10,820","9,595","9,572","9,420","11,170","12,246","11,996","10,696","11,196","11,185","10,034","9,075","6,542","3,608","1,534",---,*Woodford
Bourbon ,"19,236","19,405","18,476","18,178","17,752","17,932","18,060","18,418","17,462","18,069","16,976","15,956","14,863","14,860","14,466","14,478","18,436","17,664","18,009","12,825","7,837",
Boyd ,"51,150","55,513","52,376","52,163","49,949","45,938","43,849","29,281","23,444","18,834","14,033","12,165","8,573","6,044",---,---,---,---,---,---,---,See note 8
Boyle ,"25,641","25,066","21,090","21,257","20,532","17,075","16,282","14,998","14,668","13,817","12,948","11,930","9,515","9,304","9,116",---,---,---,---,---,---,See note 9
Bracken ,"7,766","7,738","7,227","7,422","8,424","9,389","9,616","10,210","10,308","12,137","12,369","13,509","11,409","11,021","8,903","7,053","6,518","5,280","3,706","2,606",---,*Mason
Breathitt ,"15,703","17,004","14,221","15,490","19,964","23,946","21,143","20,614","17,540","14,322","8,705","7,742","5,672","4,980","3,785","2,195",---,---,---,---,---,See note 10
Breckinridge ,"16,312","16,861","14,789","14,734","15,528","17,744","17,368","19,652","21,034","20,534","18,976","17,486","13,440","13,236","10,593","8,944","7,345","7,485","3,430",807,---,*Nelson
Bullitt ,"47,567","43,346","26,090","15,726","11,349","9,511","8,868","9,328","9,487","9,602","8,291","8,521","7,781","7,289","6,774","6,334","5,652","5,831","4,311","3,542",---,See note 11
Butler ,"11,245","11,064","9,723","9,586","11,309","14,371","12,620","15,197","15,805","15,896","13,956","12,181","9,404","7,927","5,755","3,898","3,058","3,083","2,181",---,---,"*Logan, Ohio"
Caldwell ,"13,232","13,473","13,179","13,073","13,199","14,499","13,781","13,975","14,063","14,510","13,186","11,282","10,826","9,318","13,048","10,365","8,324","9,022","4,268",---,---,See note 12
Calloway ,"30,735","30,031","27,692","20,972","20,147","19,041","17,662","20,802","19,867","17,633","14,675","13,295","9,410","9,915","8,096","9,794","5,164",---,---,---,---,See note 13
Campbell ,"83,866","83,317","88,501","86,803","76,196","71,918","73,391","61,868","59,369","54,223","44,208","37,440","27,406","20,909","13,127","5,214","9,883","7,022","3,473","1,903",---,See note 14
Carlisle ,"5,238","5,487","5,354","5,608","6,206","7,650","7,363","8,231","9,048","10,195","7,612",---,---,---,---,---,---,---,---,---,---,*Ballard
Carroll ,"9,292","9,270","8,523","7,978","8,517","8,657","8,155","8,346","8,110","9,825","9,266","8,953","6,189","6,578","5,526","3,966",---,---,---,---,---,*Gallatin
Carter ,"24,340","25,060","19,850","20,817","22,559","25,545","23,839","22,474","21,966","20,228","17,204","12,345","7,509","8,516","6,241","2,905",---,---,---,---,---,See note 15
Casey ,"14,211","14,818","12,930","14,327","17,446","19,962","16,747","17,213","15,479","15,144","11,848","10,983","8,884","6,466","6,556","4,939","4,342","4,349","3,285",---,---,*Lincoln
Christian ,"68,941","66,878","56,224","56,904","42,359","36,129","34,283","35,883","38,845","37,962","34,118","31,682","23,227","21,627","19,580","15,587","12,684","10,459","11,020","2,318",---,*Lincoln
Clark ,"29,496","28,322","24,090","21,075","18,898","17,988","17,640","17,901","17,987","16,694","15,434","12,115","10,882","11,484","12,683","10,802","13,051","11,449","11,519","7,653",---,See note 16
Clay ,"21,746","22,752","18,481","20,748","23,116","23,901","18,526","19,795","17,789","15,364","12,447","10,222","8,297","6,652","5,421","4,607","3,548","4,393","2,398",---,---,See note 17
Clinton ,"9,135","9,321","8,174","8,886","10,605","10,279","9,004","8,589","8,153","7,871","7,047","7,212","6,497","5,781","4,889","3,863",---,---,---,---,---,See note 18
Crittenden ,"9,196","9,207","8,493","8,648","10,818","12,115","11,931","13,125","13,296","15,191","13,119","11,688","9,381","8,796","6,351",---,---,---,---,---,---,*Livingston
Cumberland ,"6,784","7,289","6,850","7,835","9,309","11,923","10,204","10,648","9,846","8,962","8,452","8,894","7,690","7,340","7,005","6,090","8,624","8,058","6,191","3,284",---,*Lincoln
Daviess ,"87,189","85,949","79,486","70,588","57,241","52,335","43,779","40,733","41,020","38,667","33,120","27,730","20,714","15,549","12,362","8,331","5,209","3,876",---,---,---,See note 19
Edmonson ,"10,357","9,962","8,751","8,085","9,376","11,344","11,475","10,894","10,469","10,080","8,005","7,222","4,459","4,645","4,088","2,914","2,642",---,---,---,---,See note 20
Elliott ,"6,455","6,908","5,933","6,330","7,085","8,713","7,571","8,887","9,814","10,387","9,214","6,567","4,433",---,---,---,---,---,---,---,---,See note 21
Estill ,"14,614","14,495","12,752","12,466","14,677","17,978","17,079","15,569","12,273","11,669","10,836","9,860","9,198","6,886","5,985","5,535","4,618","3,507","2,082",---,---,See note 22
Fayette ,"225,366","204,165","174,323","131,906","100,746","78,899","68,543","54,664","47,715","42,071","35,698","29,023","26,656","22,599","22,735","22,194","25,098","23,250","21,370","14,028","18,410",
Fleming ,"12,292","12,323","11,366","10,890","11,962","13,327","12,931","15,614","16,066","17,074","16,078","15,221","13,398","12,489","13,914","13,268","13,499","12,186","8,947","5,016",---,*Mason
Floyd ,"43,586","48,764","35,889","41,642","53,500","52,986","41,942","27,427","18,623","15,552","11,256","10,176","7,877","6,388","5,714","6,302","4,347","8,207","3,485",478,---,See note 23
Franklin ,"43,781","41,830","34,481","29,421","25,933","23,308","21,064","19,357","21,135","20,852","21,267","18,699","15,300","12,694","12,462","9,420","9,254","11,024","8,013","5,078",---,See note 24
Fulton ,"8,271","8,971","10,183","11,256","13,668","15,413","14,927","15,197","14,114","11,546","10,005","7,977","6,161","5,317","4,446",---,---,---,---,---,---,*Hickman
Gallatin ,"5,393","4,842","4,134","3,867","3,969","4,307","4,437","4,664","4,697","5,163","4,611","4,832","5,074","5,056","5,137","4,003","6,674","7,075","3,307","1,291",---,See note 25
Garrard ,"11,579","10,853","9,457","9,747","11,029","11,910","11,562","12,503","11,894","12,042","11,138","11,704","10,376","10,531","10,237","10,480","11,871","10,851","9,186","6,186",---,See note 26
Grant ,"15,737","13,308","9,999","9,489","9,809","9,876","9,876","10,435","10,581","13,239","12,671","13,083","9,529","8,356","6,531","4,192","2,986","1,805",---,---,---,*Pendleton
Graves ,"33,550","34,049","30,939","30,021","31,364","31,763","30,778","32,483","33,539","33,204","28,534","24,138","19,398","16,233","11,397","7,465","2,504",---,---,---,---,See note 27
Grayson ,"21,050","20,854","16,445","15,834","17,063","17,562","17,055","19,927","19,958","19,878","18,688","15,784","11,580","7,982","6,837","4,461","3,880","4,055","2,301",---,---,"*Hardin, Ohio"
Green ,"10,371","11,043","10,350","11,249","11,261","12,321","11,401","11,391","11,871","12,255","11,463","11,871","9,379","8,806","9,060","14,212","13,138","11,943","6,735","6,096",---,See note 28
Greenup ,"36,742","39,132","33,192","29,238","24,887","24,917","24,554","20,062","18,475","15,432","11,911","13,371","11,463","8,760","9,654","6,297","5,852","4,311","2,369",---,---,*Mason
Hancock ,"7,864","7,742","7,080","5,330","6,009","6,807","6,147","6,945","8,512","8,914","9,214","8,563","6,591","6,213","3,853","2,581","1,515",---,---,---,---,See note 29
Hardin ,"89,240","88,917","78,421","67,789","50,312","29,108","20,913","24,287","22,696","22,937","21,304","22,564","15,705","15,189","14,525","16,357","12,849","10,498","7,531","3,653",---,*Nelson
Harlan ,"36,574","41,889","37,370","51,107","71,751","75,275","64,557","31,546","10,566","9,838","6,197","5,278","4,415","5,494","4,268","3,015","2,929","1,961",---,---,---,*Knox
Harrison ,"16,248","15,166","14,158","13,704","13,736","15,124","14,859","15,798","16,873","18,570","16,914","16,504","12,993","13,779","13,064","12,472","13,234","12,278","7,752","4,350",---,See note 30
Hart ,"14,890","15,402","13,980","14,119","15,321","17,239","16,169","18,544","18,173","18,390","16,439","17,133","13,687","10,348","9,093","7,031","5,191","4,184",---,---,---,See note 31
Henderson ,"43,044","40,849","36,031","33,519","30,715","27,020","26,295","27,609","29,352","32,907","29,536","24,515","18,457","14,262","12,171","9,548","6,659","5,714","4,703","1,468",---,*Lincoln
Henry ,"12,823","12,740","10,910","10,987","11,394","12,220","12,564","13,411","13,716","14,620","14,164","14,492","11,066","11,949","11,442","10,015","11,387","10,816","6,777","3,258",---,*Jefferson
Hickman ,"5,566","6,065","6,264","6,747","7,778","9,142","8,725","10,244","11,750","11,745","11,637","10,651","8,453","7,008","4,791","8,968","5,198",---,---,---,---,See note 32
Hopkins ,"46,126","46,174","38,167","38,458","38,815","37,789","37,449","34,133","34,291","30,995","23,505","19,122","13,827","11,875","12,441","9,171","6,763","5,322","2,964",---,---,*Henderson
Jackson ,"11,955","11,996","10,005","10,677","13,101","16,339","10,467","11,687","10,734","10,561","8,261","6,678","4,547","3,087",---,---,---,---,---,---,---,See note 33
Jefferson ,"664,937","685,004","695,055","610,947","484,615","385,392","355,350","286,369","262,920","232,549","188,598","146,010","118,953","89,404","59,831","36,346","23,979","20,768","13,399","8,754","4,765",
Jessamine ,"30,508","26,146","17,430","13,625","12,458","12,174","12,431","12,205","12,613","11,925","11,248","10,864","8,638","9,465","10,249","9,396","9,960","9,297","8,377","5,461",---,*Fayette
Johnson ,"23,248","24,432","17,539","19,748","23,846","25,771","22,968","19,622","17,482","13,730","11,027","9,155","7,494","5,306","3,873",---,---,---,---,---,---,See note 34
Kenton ,"142,031","137,058","129,440","120,700","104,254","93,139","93,534","73,453","70,355","63,591","54,161","43,983","36,096","25,467","17,038","7,816",---,---,---,---,---,*Campbell
Knott ,"17,906","17,940","14,698","17,362","20,320","20,007","15,230","11,655","10,791","8,704","5,438",---,---,---,---,---,---,---,---,---,---,See note 35
Knox ,"29,676","30,239","23,689","25,258","30,409","31,029","26,266","24,172","22,116","17,372","13,762","10,587","8,294","7,707","7,050","5,722","4,315","3,661","5,875","1,109",---,*Lincoln
Larue ,"11,679","11,922","10,672","10,346","9,956","9,622","9,093","10,004","10,701","10,764","9,433","9,793","8,235","6,891","5,859",---,---,---,---,---,---,*Hardin
Laurel ,"43,438","38,982","27,386","24,901","25,797","25,640","21,109","19,814","19,872","17,592","13,747","9,131","6,016","5,488","4,145","3,079","2,206",---,---,---,---,See note 36
Lawrence ,"13,998","14,121","10,726","12,134","14,418","17,275","16,713","17,643","20,067","19,612","17,702","13,262","8,497","7,601","6,281","4,730","3,900",---,---,---,---,See note 37
Lee ,"7,422","7,754","6,587","7,420","8,739","10,860","9,729","11,918","9,531","7,988","6,205","4,254","3,055",---,---,---,---,---,---,---,---,See note 38
Leslie ,"13,642","14,882","11,623","10,941","15,537","14,981","10,765","10,097","8,976","6,753","3,964","3,740",---,---,---,---,---,---,---,---,---,"*Clay, Perry"
Letcher ,"27,000","30,687","23,165","30,102","39,522","40,592","35,702","24,467","10,623","9,172","6,920","6,601","4,608","3,904","2,512",---,---,---,---,---,---,"*Perry, Harlan"
Lewis ,"13,029","14,545","12,355","13,115","13,520","15,686","14,315","15,829","16,887","17,868","14,803","13,154","9,115","8,361","7,202","6,306","5,229","3,973","2,357",---,---,*Mason
Lincoln ,"20,045","19,053","16,663","16,503","18,668","19,859","17,687","16,481","17,897","17,059","15,962","15,080","10,947","10,647","10,093","10,187","11,002","9,979","8,676","8,621","6,548",
Livingston ,"9,062","9,219","7,596","7,029","7,184","9,127","8,608","9,732","10,627","11,354","9,474","9,165","8,200","7,213","6,578","9,025","5,971","5,824","3,674","2,856",---,*Lincoln
Logan ,"24,416","24,138","21,793","20,896","22,335","23,345","21,875","23,633","24,977","25,994","23,812","24,358","20,429","19,021","16,581","13,615","13,012","14,423","12,123","5,807",---,*Lincoln
Lyon ,"6,624","6,490","5,562","5,924","6,853","9,067","8,530","8,795","9,423","9,319","7,628","6,768","6,233","5,307",---,---,---,---,---,---,---,*Caldwell
McCracken ,"62,879","61,310","58,281","57,306","49,137","48,534","46,271","37,246","35,064","28,733","21,051","16,262","13,988","10,360","6,067","4,745","1,297",---,---,---,---,*Livingston
McCreary ,"15,603","15,634","12,548","12,463","16,660","16,451","14,627","11,676",---,---,---,---,---,---,---,---,---,---,---,---,---,See note 39
McLean ,"9,628","10,090","9,062","9,355","10,021","11,446","11,072","12,502","13,241","12,448","9,887","9,293","7,614","6,144",---,---,---,---,---,---,---,See note 40
Madison ,"57,508","53,352","42,730","33,482","31,179","28,541","27,621","26,284","26,951","25,607","24,348","22,052","19,543","17,207","15,727","16,355","18,751","15,954","15,540","10,490","5,772",
Magoffin ,"13,077","13,515","10,443","11,156","13,839","17,490","15,719","13,859","13,654","12,006","9,196","6,944","4,684","3,485",---,---,---,---,---,---,---,See note 41
Marion ,"16,499","17,910","16,714","16,887","17,212","16,913","15,499","15,527","16,330","16,290","15,648","14,693","12,838","12,593","11,765","11,032",---,---,---,---,---,*Washington
Marshall ,"27,205","25,637","20,381","16,736","13,387","16,602","12,889","15,215","15,771","13,692","11,287","9,647","9,455","6,982","5,269",---,---,---,---,---,---,*Calloway
Martin ,"12,526","13,925","9,377","10,201","11,677","10,970","8,584","7,654","7,291","5,780","4,209","3,057",---,---,---,---,---,---,---,---,---,See note 42
Mason ,"16,666","17,765","17,273","18,454","18,486","19,066","18,862","17,760","18,611","20,446","20,773","20,469","18,126","18,222","18,344","15,719","16,199","13,588","12,459","12,182","2,729",
Meade ,"24,170","22,854","18,796","18,938","9,422","8,827","8,042","9,442","9,783","10,533","9,484","10,323","9,485","8,898","7,393","5,780","4,131",---,---,---,---,See note 43
Menifee ,"5,092","5,117","4,050","4,276","4,798","5,691","4,958","5,779","6,153","6,818","4,666","3,755","1,986",---,---,---,---,---,---,---,---,See note 44
Mercer ,"19,148","19,011","15,960","14,596","14,643","14,629","14,471","14,795","14,063","14,426","15,034","14,142","13,144","13,701","14,067","18,720","17,694","15,587","12,630","9,646","7,091",
Metcalfe ,"8,963","9,484","8,177","8,367","9,851","10,853","9,373","10,075","10,453","9,988","9,871","9,423","7,934","6,745",---,---,---,---,---,---,---,See note 45
Monroe ,"11,401","12,353","11,642","11,799","13,770","14,070","13,077","14,214","13,663","13,053","10,989","10,741","9,231","8,551","7,756","6,526","5,340","4,956",---,---,---,See note 46
Montgomery ,"19,561","20,046","15,364","13,461","13,025","12,280","11,660","12,245","12,868","12,834","12,367","10,566","7,557","7,859","9,903","9,332","10,240","9,587","12,975","7,082",---,*Bourbon
Morgan ,"11,648","12,103","10,019","11,056","13,624","16,827","15,130","16,518","16,259","12,792","11,249","8,455","5,975","9,237","7,620","4,603","2,857",---,---,---,---,See note 47
Muhlenberg ,"31,318","32,238","27,537","27,791","32,501","37,554","37,784","33,353","28,598","20,741","17,955","15,098","12,638","10,725","9,809","6,964","5,340","4,979","4,181","1,443",---,*Lincoln
Nelson ,"29,710","27,584","23,477","22,168","19,521","18,004","16,551","16,137","16,830","16,587","16,417","16,609","14,804","15,799","14,789","13,637","14,932","16,273","14,078","9,866","11,315",
Nicholas ,"6,725","7,157","6,508","6,677","7,532","8,617","8,571","9,894","10,601","11,952","10,764","11,869","9,129","11,030","10,361","8,745","8,834","7,973","4,898","2,925",---,See note 48
Ohio ,"21,105","21,765","18,790","17,725","20,840","24,421","24,469","26,473","27,642","27,287","22,946","19,669","15,561","12,209","9,749","6,592","4,715","3,879","3,792","1,223",---,*Nelson
Oldham ,"33,263","27,795","14,687","13,388","11,018","10,716","7,402","7,689","7,248","7,078","6,754","7,667","9,027","7,283","7,629","7,380","9,588",---,---,---,---,See note 49
Owen ,"9,035","8,924","7,470","8,237","9,755","10,942","10,710","12,554","14,248","17,553","17,676","17,401","14,309","12,719","10,444","8,232","5,786","2,031",---,---,---,See note 50
Owsley ,"5,036","5,709","5,023","5,369","7,324","8,957","7,223","7,820","7,979","6,874","5,975","4,942","3,889","5,335","3,774",---,---,---,---,---,---,See note 51
Pendleton ,"12,036","10,989","9,949","9,968","9,610","10,392","10,876","11,719","11,985","14,947","16,346","16,702","14,030","10,443","6,774","4,455","3,863","3,086","3,061","1,613",---,See note 52
